frame,class,confidence,x_center,y_center
59,4,0.853083074092865,415,760
59,4,0.8398558497428894,560,657
59,4,0.8169171214103699,215,848
59,4,0.816910445690155,517,663
59,4,0.7257769107818604,103,1032
59,4,0.5568796992301941,274,890
59,5,0.3713594675064087,665,595
59,5,0.33352601528167725,1027,372
60,4,0.867969274520874,203,874
60,4,0.8627982139587402,406,765
60,4,0.8457789421081543,555,660
60,4,0.8295946717262268,512,666
60,4,0.7947668433189392,206,851
60,4,0.7879841327667236,284,883
60,5,0.50048828125,661,597
60,4,0.456510066986084,1025,373
60,4,0.3732272982597351,112,1026
60,5,0.28108903765678406,112,1026
61,4,0.8593683242797852,397,768
61,4,0.8490433692932129,549,664
61,4,0.81241375207901,120,1021
61,4,0.809032678604126,192,880
61,4,0.791628897190094,198,856
61,4,0.7890112400054932,506,669
61,4,0.6824980974197388,296,876
61,4,0.4767419397830963,1024,373
61,1,0.4522339999675751,1056,385
61,4,0.4414002001285553,656,600
61,5,0.35304585099220276,861,490
61,5,0.2783414423465729,1030,415
62,4,0.8507643342018127,390,773
62,4,0.8423686623573303,545,667
62,4,0.8342816829681396,181,886
62,4,0.8130543828010559,190,859
62,4,0.7328738570213318,129,1016
62,4,0.7186090350151062,502,671
62,4,0.499434232711792,1023,374
62,5,0.4039860963821411,1032,414
62,5,0.35057491064071655,652,602
62,1,0.32977864146232605,1057,384
62,0,0.2561861276626587,7,408
63,4,0.8549662232398987,171,891
63,4,0.8437261581420898,540,670
63,4,0.8331581950187683,381,778
63,4,0.8170481324195862,182,864
63,4,0.8039517402648926,137,1011
63,4,0.5235302448272705,497,673
63,1,0.3214462399482727,1060,383
63,0,0.3135778307914734,7,409
64,4,0.8597044944763184,159,897
64,4,0.8417870402336121,372,783
64,4,0.8241838216781616,535,673
64,4,0.8235757350921631,146,1005
64,4,0.8060623407363892,173,868
64,5,0.6812475919723511,644,607
64,4,0.43227866291999817,492,676
64,4,0.35141703486442566,936,425
64,4,0.3386228382587433,1019,377
64,0,0.3274347186088562,7,408
65,4,0.8665844798088074,363,788
65,4,0.8625821471214294,148,904
65,4,0.842133104801178,528,676
65,4,0.8400698900222778,164,873
65,4,0.7027289271354675,1018,378
65,4,0.6148338317871094,487,679
65,4,0.47589024901390076,933,426
65,4,0.39058345556259155,639,610
65,4,0.3513891100883484,155,1000
65,0,0.2753123342990875,7,408
66,4,0.8608669638633728,523,679
66,4,0.8562651872634888,156,878
66,4,0.8546785116195679,137,911
66,4,0.8387269377708435,355,792
66,4,0.8292511105537415,162,995
66,4,0.8062785863876343,349,847
66,4,0.7029171586036682,1017,379
66,4,0.4997394382953644,481,682
66,5,0.3421618342399597,634,613
66,4,0.32151198387145996,844,501
67,4,0.88006591796875,124,917
67,4,0.8739624619483948,146,882
67,4,0.8671775460243225,517,682
67,4,0.8488020300865173,346,797
67,4,0.84358811378479,170,990
67,4,0.8355745077133179,357,841
67,4,0.596240758895874,476,684
67,4,0.48676797747612,1016,380
67,4,0.2934289276599884,841,503
68,3,0.881629228591919,112,923
68,4,0.8711551427841187,137,887
68,4,0.8648589849472046,512,685
68,4,0.849501371383667,337,801
68,4,0.8458913564682007,178,986
68,4,0.8288294672966003,366,836
68,4,0.7784819006919861,472,687
68,4,0.46056467294692993,1014,382
68,1,0.3993051052093506,1008,416
68,5,0.3552529513835907,624,618
68,4,0.3356251120567322,838,506
69,3,0.887848436832428,100,929
69,4,0.8702922463417053,128,892
69,4,0.857078492641449,187,981
69,4,0.8541167974472046,505,689
69,4,0.8311256766319275,330,806
69,4,0.8006113767623901,466,690
69,4,0.7818606495857239,376,830
69,4,0.6581214070320129,619,621
69,1,0.44569844007492065,1011,414
69,4,0.4036458432674408,1012,383
70,3,0.8827394843101501,88,935
70,4,0.8664355278015137,118,897
70,4,0.8496466279029846,500,692
70,4,0.8487008213996887,195,976
70,4,0.8228318095207214,461,694
70,4,0.6991216540336609,384,825
70,4,0.5324115753173828,614,624
70,4,0.30318382382392883,1487,177
70,4,0.30171331763267517,1010,384
70,1,0.2921198010444641,1013,413
70,0,0.2665104866027832,7,408
70,4,0.26198387145996094,323,810
71,3,0.8815615177154541,75,941
71,4,0.8753325939178467,204,971
71,4,0.8581375479698181,493,695
71,4,0.8552020192146301,109,902
71,4,0.8294035196304321,456,697
71,4,0.7747482061386108,609,626
71,4,0.44887372851371765,1008,385
71,4,0.3214069604873657,827,513
72,4,0.8932414054870605,63,948
72,4,0.8630003929138184,99,907
72,4,0.8508957624435425,212,966
72,4,0.8392650485038757,488,698
72,4,0.8218209743499756,449,699
72,4,0.6797580122947693,604,629
72,4,0.44105368852615356,1006,386
72,1,0.3545342981815338,1017,410
72,0,0.2754107117652893,7,408
73,3,0.8859648108482361,50,955
73,4,0.8693726658821106,220,962
73,4,0.8669567704200745,89,912
73,4,0.8460788726806641,482,702
73,4,0.600813627243042,1005,387
73,4,0.531751275062561,444,702
73,4,0.5152437686920166,919,435
73,4,0.5035163760185242,599,633
73,0,0.2642643451690674,7,409
74,3,0.8963096737861633,37,961
74,4,0.8760513067245483,80,918
74,4,0.8430904150009155,476,705
74,4,0.8376229405403137,226,958
74,4,0.797866702079773,594,636
74,4,0.48476117849349976,1004,388
74,4,0.4387487769126892,918,436
74,4,0.2895166277885437,817,519
74,0,0.2749510705471039,7,408
75,3,0.8955846428871155,29,968
75,4,0.8773488402366638,70,923
75,4,0.869743287563324,235,953
75,4,0.8379610776901245,471,709
75,4,0.7850692868232727,589,638
75,4,0.6952422261238098,915,437
75,4,0.6184807419776917,812,521
75,4,0.4689815938472748,1001,389
75,4,0.2631757855415344,988,444
75,0,0.2528866231441498,7,408
76,3,0.8727774620056152,22,975
76,4,0.8677745461463928,60,927
76,4,0.8608208298683167,466,712
76,4,0.8251718878746033,241,949
76,4,0.7661494612693787,583,641
76,4,0.680435836315155,261,843
76,4,0.653249204158783,913,439
76,4,0.5880715847015381,810,524
76,4,0.366558700799942,1487,177
76,0,0.26836609840393066,7,408
77,4,0.8755284547805786,50,932
77,4,0.8659027814865112,249,944
77,4,0.848892331123352,251,847
77,4,0.8386828303337097,459,715
77,4,0.7786960005760193,579,645
77,3,0.7568625807762146,15,981
77,4,0.6325869560241699,911,440
77,4,0.49185749888420105,1487,177
77,0,0.2632024884223938,7,408
78,4,0.8687801957130432,41,937
78,4,0.823323130607605,453,719
78,4,0.804826021194458,258,940
78,4,0.7750476598739624,239,854
78,4,0.7292114496231079,574,647
78,3,0.6622704267501831,8,986
78,4,0.5242448449134827,459,782
78,4,0.3624236285686493,1487,177
78,0,0.3470926284790039,7,408
79,4,0.8758039474487305,31,943
79,4,0.8326753377914429,266,936
79,4,0.8315621018409729,448,722
79,4,0.8273818492889404,229,860
79,4,0.6977561712265015,469,777
79,4,0.6254590749740601,569,650
79,0,0.373749703168869,7,408
79,4,0.3120700716972351,1488,177
80,4,0.8882524371147156,24,948
80,4,0.8456565141677856,273,931
80,4,0.830010175704956,441,726
80,4,0.8253954648971558,219,865
80,4,0.6603261828422546,477,771
80,4,0.5289530754089355,563,654
80,0,0.36343106627464294,7,408
81,4,0.8705108165740967,277,927
81,4,0.8275989890098572,208,872
81,4,0.7723097205162048,433,730
81,4,0.6663033962249756,485,767
81,4,0.6505604982376099,19,953
81,4,0.5953561067581177,558,656
81,4,0.4545343518257141,400,727
81,4,0.3516251742839813,991,396
81,0,0.33355090022087097,7,408
81,4,0.25110551714897156,1488,177
82,4,0.8527104258537292,285,923
82,4,0.8046619296073914,424,734
82,4,0.631277859210968,198,878
82,4,0.4837039113044739,990,397
82,4,0.32894033193588257,1488,177
82,0,0.30165907740592957,7,408
82,4,0.2988150715827942,393,730
82,4,0.28735867142677307,551,660
82,5,0.2858405113220215,14,959
83,4,0.854407012462616,294,919
83,4,0.8111763000488281,417,737
83,3,0.7430436611175537,9,969
83,5,0.5947779417037964,547,663
83,4,0.31785836815834045,1488,177
84,4,0.8660469055175781,177,890
84,4,0.8616170287132263,300,915
84,4,0.8322851061820984,413,739
84,4,0.7535277605056763,541,666
84,4,0.5154341459274292,382,735
84,4,0.5076748132705688,986,400
85,4,0.860914945602417,307,911
85,4,0.8535206913948059,165,897
85,4,0.8198763132095337,535,670
85,4,0.7549940347671509,408,742
85,4,0.5948836803436279,514,748
85,4,0.388933926820755,985,401
86,4,0.8694738149642944,314,907
86,4,0.8579078316688538,154,903
86,4,0.8278173208236694,529,673
86,4,0.7810158133506775,522,744
86,4,0.7422524690628052,401,747
86,4,0.5206840634346008,371,742
87,4,0.8677411079406738,142,909
87,4,0.8552591800689697,322,902
87,4,0.7382429838180542,524,676
87,4,0.6524974703788757,394,750
87,4,0.4362736940383911,891,454
87,4,0.38037633895874023,529,740
88,4,0.8747554421424866,327,899
88,4,0.8602352142333984,130,916
88,4,0.7737093567848206,386,754
88,4,0.7632374167442322,518,680
88,4,0.29433825612068176,889,455
89,4,0.8599444627761841,118,922
89,4,0.8446751832962036,335,894
89,4,0.6458520889282227,378,759
89,5,0.4705009162425995,513,684
89,4,0.3866996765136719,887,456
90,4,0.8497425317764282,105,929
90,4,0.8303610682487488,341,891
90,4,0.6020447015762329,372,762
90,4,0.6004183292388916,346,755
90,5,0.5725426077842712,506,687
90,4,0.4916858971118927,885,458
91,4,0.8504775762557983,92,936
91,4,0.840449333190918,347,887
91,4,0.8048814535140991,363,766
91,5,0.5155622959136963,500,691
91,4,0.2762090563774109,339,759
92,5,0.8492678999900818,494,694
92,4,0.8399452567100525,354,883
92,3,0.8347233533859253,80,942
92,4,0.8066039681434631,356,770
92,4,0.48138144612312317,971,410
93,3,0.8524942398071289,65,949
93,4,0.8388029336929321,359,880
93,4,0.7928159236907959,349,773
93,5,0.7386852502822876,487,697
93,4,0.5836381912231445,969,412
94,3,0.8353875875473022,54,956
94,4,0.8325769901275635,342,777
94,4,0.7192557454109192,481,700
94,4,0.6771267652511597,366,876
94,4,0.5540195107460022,877,463
94,4,0.2549588680267334,1071,349
95,4,0.8359431028366089,335,782
95,3,0.7539364695549011,41,963
95,4,0.743669331073761,373,872
95,4,0.6734322905540466,965,415
95,4,0.6388192176818848,875,465
95,4,0.595894992351532,475,705
95,5,0.3258409798145294,728,576
96,4,0.8625434041023254,377,868
96,4,0.8319984674453735,963,416
96,3,0.8236408233642578,30,969
96,4,0.7171269655227661,328,786
96,4,0.6734379529953003,873,466
96,5,0.5463027954101562,470,708
96,5,0.3323501944541931,722,580
96,4,0.26179540157318115,470,707
97,4,0.8690346479415894,384,865
97,3,0.818496584892273,23,975
97,4,0.6963353157043457,871,468
97,4,0.6701425313949585,961,417
97,5,0.6228848099708557,464,711
97,4,0.26570412516593933,320,790
98,4,0.8602614402770996,391,861
98,4,0.8525936007499695,456,714
98,4,0.7327041625976562,958,419
98,4,0.7159126400947571,16,980
98,4,0.6134893894195557,869,469
99,4,0.870827317237854,397,857
99,4,0.8172051906585693,449,719
99,4,0.6039968729019165,10,985
99,4,0.4945079982280731,957,420
99,5,0.36855173110961914,708,588
100,4,0.8521732687950134,402,854
100,4,0.473612517118454,444,722
100,5,0.3549362123012543,955,421
100,4,0.3544906973838806,296,800
100,5,0.3511315882205963,864,472
100,4,0.3183175027370453,1086,330
101,4,0.8517545461654663,410,850
101,4,0.7976108193397522,436,727
101,4,0.6101785898208618,953,422
101,4,0.5638958811759949,1085,331
101,5,0.487516850233078,861,473
102,4,0.8325735330581665,428,730
102,4,0.6784389019012451,1083,331
102,5,0.5736462473869324,859,474
102,4,0.523574709892273,414,847
102,4,0.5084015727043152,950,424
102,4,0.46499574184417725,40,1062
102,5,0.4015869200229645,414,847
103,4,0.8696266412734985,421,734
103,4,0.8418760895729065,420,843
103,3,0.675336480140686,47,1059
103,5,0.4739919900894165,857,476
104,4,0.8515898585319519,415,737
104,4,0.8076487183570862,425,840
104,3,0.7835546731948853,50,1057
104,5,0.3918740153312683,945,428
105,4,0.8347694277763367,412,740
105,3,0.8056832551956177,63,1054
105,4,0.7700744271278381,433,837
105,5,0.5556961297988892,944,429
105,5,0.2699335217475891,852,479
106,4,0.8347567319869995,436,833
106,3,0.7545103430747986,74,1048
106,5,0.6427522897720337,850,482
106,5,0.6398077011108398,941,430
106,5,0.5903382897377014,672,611
107,4,0.7988466024398804,443,830
107,3,0.7730862498283386,81,1043
107,5,0.4101257920265198,848,482
107,4,0.3211296498775482,939,431
108,4,0.8402958512306213,386,754
108,4,0.8072553873062134,448,826
108,3,0.7360371947288513,89,1037
108,5,0.4670962691307068,660,617
108,5,0.3591610789299011,846,483
109,4,0.8797651529312134,380,758
109,4,0.8446518778800964,454,824
109,3,0.7936338782310486,97,1032
109,5,0.6590456366539001,656,621
109,5,0.428547739982605,843,485
110,4,0.8610415458679199,372,762
110,4,0.8334540724754333,459,819
110,5,0.7721999883651733,651,624
110,3,0.7170054912567139,107,1026
110,5,0.4992968738079071,841,487
111,4,0.8666462302207947,364,765
111,5,0.7803537249565125,465,816
111,5,0.7403191924095154,646,627
111,3,0.5267007946968079,118,1021
111,4,0.4470047950744629,930,438
111,4,0.35504865646362305,839,488
112,4,0.87163907289505,356,769
112,3,0.7961798310279846,124,1017
112,4,0.7546170353889465,470,813
112,5,0.7461668252944946,639,631
112,4,0.6674288511276245,928,439
112,5,0.3096679747104645,837,490
113,4,0.8691629767417908,349,774
113,5,0.825397253036499,632,634
113,4,0.8006271719932556,925,441
113,4,0.5037822127342224,474,811
113,5,0.4794544577598572,474,810
113,3,0.3393104076385498,132,1012
113,4,0.2991115152835846,834,491
114,4,0.8526426553726196,480,807
114,4,0.8403838872909546,923,442
114,5,0.8347181677818298,627,638
114,4,0.7823988795280457,341,779
114,3,0.7699031829833984,143,1006
114,4,0.47916749119758606,174,867
114,4,0.471749871969223,831,493
114,1,0.43535470962524414,1052,414
114,5,0.3161739706993103,861,472
115,4,0.8348968029022217,486,805
115,4,0.830295979976654,333,782
115,5,0.8164792060852051,622,641
115,3,0.7952532768249512,154,1001
115,4,0.776247501373291,921,444
115,1,0.6145724654197693,1053,414
115,5,0.30820080637931824,166,871
116,3,0.8238623738288879,159,997
116,4,0.767146110534668,920,445
116,5,0.6364568471908569,616,645
116,1,0.6034834980964661,1053,413
116,4,0.5844910144805908,493,801
116,4,0.3879246711730957,327,787
116,1,0.30931419134140015,1059,394
117,4,0.8358900547027588,169,992
117,4,0.8161520957946777,497,797
117,5,0.7631125450134277,609,648
117,4,0.6927353739738464,918,447
